id_site,condition_rank
1246,V
1247,V
1248,V
1250,V
1251,V
1252,V
1253,V
1254,V
1255,V
1256,V
1257,V
1278,V
1279,V
1280,V
1282,V
1285,V
1287,V
1288,V
1289,V
1290,V
1291,V
1292,V
1294,V
1295,V
1297,V
1298,V
1299,V
1303,V
1305,V
1307,V
1334,L
1340,L
1341,L
1342,H
1343,M
1344,M
1345,H
1357,M
1363,M
1365,M
1366,H
1512,M
1513,M
1514,M
1515,M
1516,M
1517,H
1518,H
1519,H
1520,H
1521,H
1522,H
1523,H
1524,H
1525,H
1528,M
1529,L
1530,L
1531,H
1532,L
1533,L
1534,L
1535,L
1536,L
1587,L
1600,L
1601,V
3079,V
3080,V
3081,V
3082,V
3083,V
3114,M
3115,M
3116,M
3117,M
3118,M
3119,M
3120,M
3121,M
3122,M
3123,M
3124,M
3125,L
3126,L
3127,L
3129,L
3130,L
3142,L
3144,L
3146,L
3147,L
3149,L
3150,L
3151,L
3152,L
3153,V
3154,V
3155,V
3156,V
3157,V
3158,V
3159,V
3160,V
3161,V
3163,V
3164,V
3182,V
3188,V
3211,V
3213,V
3214,V
3216,V
3219,V
3221,V
3222,V
3225,V
3230,V
3231,V
3232,V
3233,V
3234,V
3235,V
3239,V
3240,V
3248,V
3249,V
3255,V
3268,V
3282,V
3283,V
3284,V
3285,V
3286,V
3287,V
3288,V
3289,V
3290,V
3291,V
3292,V
3293,V
3294,V
3295,V
3296,V
3297,V
3298,V
3299,V
3300,V
3301,V
3302,V
3303,V
3304,V
3305,V
3306,V
3307,V
3308,V
3309,V
3310,V
3311,V
3312,V
4063,V
4064,V
4065,V
4126,H
4127,H
4128,H
4130,H
4131,H
4132,H
4134,H
4135,H
4137,H
4138,H
4139,H
4145,H
4260,H
4261,H
4262,H
4263,H
4264,H
4265,H
4281,M
4282,M
4283,M
4284,M
4285,M
4286,M
4287,H
4288,M
4439,M
4440,M
4441,M
4442,M
4443,M
4444,M
4445,M
4446,M
4447,M
4448,M
4449,M
4450,M
